
0.000000000000000e+00	-4.389676e+00	5.000000e+00
9.765625114122045e-11	-4.389676e+00	4.999999e+00
1.953125022824409e-10	-4.389676e+00	4.999998e+00
1.445312516890063e-08	-4.389676e+00	4.999864e+00
2.871093783551882e-08	-4.389676e+00	4.999731e+00
4.296875050213701e-08	-4.389676e+00	4.999597e+00
5.722656316875520e-08	-4.389677e+00	4.999463e+00
7.148437583537340e-08	-4.389677e+00	4.999329e+00
8.574218850199158e-08	-4.389677e+00	4.999195e+00
1.000000011686097e-07	-4.389678e+00	4.999062e+00
6.329821430808487e-05	-4.390607e+00	4.429283e+00
1.264964286150011e-04	-4.391488e+00	3.889619e+00
1.896946429219174e-04	-4.392319e+00	3.380071e+00
2.528928572288337e-04	-4.393101e+00	2.900639e+00
3.160910715357499e-04	-4.393834e+00	2.451323e+00
3.792892858426662e-04	-4.394517e+00	2.032122e+00
4.424875001495823e-04	-4.395152e+00	1.643037e+00
4.703892858638680e-04	-4.398908e+00	1.477237e+00
4.982910715781538e-04	-4.402640e+00	1.315604e+00
5.261928572924395e-04	-4.406349e+00	1.158138e+00
5.540946430067252e-04	-4.410034e+00	1.004840e+00
5.819964287210109e-04	-4.413695e+00	8.557085e-01
6.098982144352968e-04	-4.417334e+00	7.107446e-01
6.378000001495824e-04	-4.420949e+00	5.699481e-01
6.573312501495824e-04	-4.436834e+00	4.733208e-01
6.740723215781538e-04	-4.451627e+00	3.917711e-01
6.908133930067253e-04	-4.466225e+00	3.112945e-01
7.075544644352967e-04	-4.480629e+00	2.318908e-01
7.242955358638682e-04	-4.494838e+00	1.535601e-01
7.410366072924397e-04	-4.508852e+00	7.630234e-02
7.577776787210111e-04	-4.522671e+00	1.175857e-04
7.745187501495825e-04	-4.536296e+00	-7.499420e-02
7.940500001495825e-04	-4.551965e+00	-1.613758e-01
8.233468751495826e-04	-4.575005e+00	-2.883869e-01
8.331125001495826e-04	-4.582562e+00	-3.300517e-01
8.428781251495826e-04	-4.590059e+00	-3.713848e-01
8.526437501495826e-04	-4.597494e+00	-4.124203e-01
8.586239045109329e-04	-4.601768e+00	-4.374134e-01
8.593568452971690e-04	-4.602249e+00	-4.404651e-01
8.608227268696411e-04	-4.603193e+00	-4.465576e-01
8.611891972627591e-04	-4.603423e+00	-4.480797e-01
8.619221380489952e-04	-4.603876e+00	-4.511222e-01
8.621053732455542e-04	-4.603988e+00	-4.518825e-01
8.624718436386722e-04	-4.604210e+00	-4.534024e-01
8.630093805561780e-04	-4.599206e+00	-4.556301e-01
8.630543110503401e-04	-4.588540e+00	-4.558158e-01
8.631441720386643e-04	-4.566984e+00	-4.561848e-01
8.633238940153127e-04	-4.520989e+00	-4.569154e-01
8.636385885585009e-04	-4.427015e+00	-4.581689e-01
8.641266160431812e-04	-4.257469e+00	-4.600311e-01
8.651026710125417e-04	-3.907745e+00	-4.635192e-01
8.660437633389627e-04	-3.573969e+00	-4.665945e-01
8.692687633389628e-04	-2.425245e+00	-4.748104e-01
8.694703445880907e-04	-2.353523e+00	-4.751939e-01
8.697149231410281e-04	-2.283731e+00	-4.756446e-01
8.699502791489699e-04	-2.257254e+00	-4.760683e-01
8.701250371645593e-04	-2.257803e+00	-4.763799e-01
8.703615009360019e-04	-2.259104e+00	-4.768006e-01
8.708344284788873e-04	-2.258520e+00	-4.776419e-01
8.746559579513604e-04	-2.258377e+00	-4.844260e-01
8.750313742459543e-04	-2.258369e+00	-4.850848e-01
8.757822068351420e-04	-2.164180e+00	-4.863446e-01
8.766528670117922e-04	-1.873353e+00	-4.876360e-01
8.776528670117923e-04	-1.505237e+00	-4.888225e-01
8.786125303874896e-04	-1.171710e+00	-4.896332e-01
8.796125303874897e-04	-8.108494e-01	-4.901253e-01
8.806125303874897e-04	-4.582405e-01	-4.902650e-01
8.816125303874897e-04	-1.006191e-01	-4.900490e-01
8.826125303874897e-04	2.540028e-01	-4.894779e-01
8.836125303874898e-04	6.098387e-01	-4.885509e-01
8.846125303874898e-04	9.655873e-01	-4.872706e-01
8.856125303874898e-04	1.321249e+00	-4.856367e-01
8.866125303874898e-04	1.676823e+00	-4.836495e-01
8.876125303874899e-04	2.032309e+00	-4.813088e-01
8.886125303874899e-04	2.387709e+00	-4.786146e-01
8.896125303874899e-04	2.743021e+00	-4.755670e-01
8.906125303874899e-04	3.098570e+00	-4.721684e-01
8.916125303874900e-04	3.453757e+00	-4.684180e-01
8.926125303874900e-04	3.809193e+00	-4.643613e-01
8.936125303874900e-04	3.810942e+00	-4.601320e-01
8.947590641483768e-04	3.812071e+00	-4.552360e-01
8.948988115253000e-04	3.811776e+00	-4.546396e-01
8.951783062791464e-04	3.811882e+00	-4.534472e-01
8.957394793396037e-04	3.812094e+00	-4.510538e-01
8.957594477031845e-04	3.812102e+00	-4.509687e-01
8.957794160667654e-04	3.812109e+00	-4.508835e-01
8.957993844303462e-04	3.812116e+00	-4.507984e-01
8.958193527939271e-04	3.812122e+00	-4.507133e-01
8.958393211575079e-04	3.812128e+00	-4.506281e-01
8.958592895210888e-04	3.812133e+00	-4.505430e-01
8.958792578846696e-04	3.812137e+00	-4.504579e-01
8.959547703306249e-04	3.812148e+00	-4.501360e-01
8.960922087240434e-04	3.812156e+00	-4.495502e-01
9.139120819484332e-04	3.812353e+00	-3.743669e-01
9.317319551728231e-04	3.812546e+00	-3.004425e-01
9.495518283972129e-04	3.812736e+00	-2.277770e-01
9.673717016216028e-04	3.812923e+00	-1.563704e-01
9.851915748459927e-04	3.813106e+00	-8.622260e-02
1.003011448070382e-03	3.813285e+00	-1.733372e-02
1.020831321294772e-03	3.813462e+00	5.029627e-02
1.040362571294772e-03	3.813652e+00	1.230981e-01
1.069659446294772e-03	3.813930e+00	2.296766e-01
1.079425071294772e-03	3.814021e+00	2.645166e-01
1.089190696294772e-03	3.814110e+00	2.990189e-01
1.098956321294772e-03	3.814196e+00	3.331862e-01
1.108721946294772e-03	3.813751e+00	3.670914e-01
1.109942649419772e-03	3.813598e+00	3.713043e-01
1.112384055669772e-03	3.813227e+00	3.797002e-01
1.112797490558004e-03	3.813150e+00	3.811134e-01
1.113435796930351e-03	3.705379e+00	3.832504e-01
1.114103694501975e-03	3.510066e+00	3.853718e-01
1.115103694501974e-03	3.156476e+00	3.882895e-01
1.117018072505116e-03	2.473733e+00	3.929174e-01
1.120018072505116e-03	1.404516e+00	3.975421e-01
1.122018072505116e-03	6.923807e-01	3.988393e-01
1.123018072505116e-03	3.363662e-01	3.989533e-01
1.124018072505115e-03	-1.964952e-02	3.987115e-01
1.125018072505115e-03	-3.756435e-01	3.981141e-01
1.128018072505115e-03	-1.443299e+00	3.941934e-01
1.129018072505115e-03	-1.799161e+00	3.922202e-01
1.129618072505115e-03	-1.943110e+00	3.908970e-01
1.130236716182849e-03	-1.964120e+00	3.894599e-01
1.130541105247152e-03	-1.955725e+00	3.887465e-01
1.130815383909280e-03	-1.956821e+00	3.881038e-01
1.134477247509830e-03	-1.956631e+00	3.795420e-01
1.134854435206804e-03	-1.956647e+00	3.786560e-01
1.135608810600751e-03	-2.051253e+00	3.768289e-01
1.136451961407620e-03	-2.332379e+00	3.746274e-01
1.137451961407620e-03	-2.700065e+00	3.717223e-01
1.138451961407620e-03	-3.047911e+00	3.684786e-01
