time	Ib(Q1)	Ic(Q1)
9.202706473214286e+00	7.748372e-06	9.147035e-04
9.227818080357142e+00	6.798615e-06	7.788225e-04
9.252929687500000e+00	5.864007e-06	6.487414e-04
9.282226562500000e+00	4.818739e-06	5.093046e-04
9.301757812500000e+00	4.149263e-06	4.234990e-04
9.321289062500000e+00	3.507019e-06	3.441358e-04
9.331054687500000e+00	3.197908e-06	3.070892e-04
9.340820312500000e+00	2.897942e-06	2.719257e-04
9.350585937500000e+00	2.608094e-06	2.387443e-04
9.360351562500000e+00	2.329441e-06	2.076459e-04
9.370117187500000e+00	2.063156e-06	1.787295e-04
9.379882812500000e+00	1.810492e-06	1.520889e-04
9.389648437500000e+00	1.572762e-06	1.278064e-04
9.399414062500000e+00	1.351279e-06	1.059459e-04
9.409179687500000e+00	1.147297e-06	8.654371e-05
9.418945312500000e+00	9.619060e-07	6.959931e-05
9.428710937500000e+00	7.959208e-07	5.506619e-05
9.438476562500000e+00	6.497615e-07	4.284550e-05
9.448242187500000e+00	5.233514e-07	3.278450e-05
9.458007812500000e+00	4.160598e-07	2.468171e-05
9.467773437500000e+00	3.267140e-07	1.829878e-05
9.477539062500000e+00	2.536839e-07	1.337756e-05
9.487304687500000e+00	1.950259e-07	9.658972e-06
9.497070312500000e+00	1.486537e-07	6.899842e-06
9.506835937500000e+00	1.125002e-07	4.884952e-06
9.516601562500000e+00	8.464404e-08	3.433276e-06
9.526367187500000e+00	6.338865e-08	2.398952e-06
9.536132812500000e+00	4.729645e-08	1.668568e-06
9.545898437500000e+00	3.518830e-08	1.156446e-06
9.555664062500000e+00	2.612147e-08	7.993347e-07
9.565429687500000e+00	1.935696e-08	5.513638e-07
9.575195312500000e+00	1.432421e-08	3.797305e-07
9.584960937500000e+00	1.058773e-08	2.612218e-07
9.594726562500000e+00	7.818013e-09	1.795433e-07
9.604492187500000e+00	5.767318e-09	1.233252e-07
9.614257812500000e+00	4.250311e-09	8.467034e-08
9.624023437500000e+00	3.128829e-09	5.811173e-08
9.633789062500000e+00	2.300145e-09	3.987426e-08
9.643554687500000e+00	1.688034e-09	2.735599e-08
9.653320312500000e+00	1.236020e-09	1.876604e-08
9.672851562500000e+00	6.559669e-10	8.830815e-09
9.702148437500000e+00	2.410195e-10	2.853678e-09
9.731445312500000e+00	7.445435e-11	9.265415e-10
9.995117187500000e+00	-3.425626e-11	1.017290e-11
1.000000000000000e+01	-3.421798e-11	1.016964e-11
