time	V(n003)	Ic(Q1)
7.306501116071429e+00	7.057111e-01	1.758075e-02
7.690429687500000e+00	6.993241e-01	1.376210e-02
7.829938616071429e+00	6.966900e-01	1.240125e-02
7.969447544642858e+00	6.935656e-01	1.106708e-02
8.108956473214286e+00	6.899509e-01	9.759588e-03
8.248465401785715e+00	6.858460e-01	8.478776e-03
8.387974330357142e+00	6.812508e-01	7.224645e-03
8.527483258928571e+00	6.761653e-01	5.997193e-03
8.666992187500000e+00	6.705896e-01	4.796421e-03
8.725585937500000e+00	6.679696e-01	4.308952e-03
8.784179687500000e+00	6.649051e-01	3.835624e-03
8.842773437500000e+00	6.613961e-01	3.376438e-03
8.901367187500000e+00	6.574427e-01	2.931393e-03
8.959960937500000e+00	6.530447e-01	2.500490e-03
9.018554687500000e+00	6.482022e-01	2.083728e-03
9.077148437500000e+00	6.429152e-01	1.681108e-03
9.102260044642858e+00	6.403646e-01	1.516227e-03
9.127371651785714e+00	6.374806e-01	1.357146e-03
9.152483258928571e+00	6.342635e-01	1.203865e-03
9.177594866071429e+00	6.307130e-01	1.056385e-03
9.202706473214286e+00	6.268294e-01	9.147035e-04
9.227818080357142e+00	6.226124e-01	7.788225e-04
9.252929687500000e+00	6.180623e-01	6.487414e-04
9.282226562500000e+00	6.117613e-01	5.093046e-04
9.301757812500000e+00	6.069586e-01	4.234990e-04
9.321289062500000e+00	6.015568e-01	3.441358e-04
9.331054687500000e+00	5.985917e-01	3.070892e-04
9.340820312500000e+00	5.954254e-01	2.719257e-04
9.350585937500000e+00	5.920365e-01	2.387443e-04
9.360351562500000e+00	5.884013e-01	2.076459e-04
9.370117187500000e+00	5.844941e-01	1.787295e-04
9.379882812500000e+00	5.802871e-01	1.520889e-04
9.389648437500000e+00	5.757514e-01	1.278064e-04
9.399414062500000e+00	5.708580e-01	1.059459e-04
9.409179687500000e+00	5.655798e-01	8.654371e-05
9.418945312500000e+00	5.598928e-01	6.959931e-05
9.428710937500000e+00	5.537788e-01	5.506619e-05
9.438476562500000e+00	5.472287e-01	4.284550e-05
9.448242187500000e+00	5.402441e-01	3.278450e-05
9.458007812500000e+00	5.328390e-01	2.468171e-05
9.467773437500000e+00	5.250392e-01	1.829878e-05
9.477539062500000e+00	5.168802e-01	1.337756e-05
9.487304687500000e+00	5.084049e-01	9.658972e-06
9.497070312500000e+00	4.996594e-01	6.899842e-06
9.506835937500000e+00	4.906891e-01	4.884952e-06
9.516601562500000e+00	4.815363e-01	3.433276e-06
9.526367187500000e+00	4.722383e-01	2.398952e-06
9.536132812500000e+00	4.628267e-01	1.668568e-06
9.545898437500000e+00	4.533274e-01	1.156446e-06
9.555664062500000e+00	4.437613e-01	7.993347e-07
9.565429687500000e+00	4.341444e-01	5.513638e-07
9.575195312500000e+00	4.244896e-01	3.797305e-07
9.584960937500000e+00	4.148061e-01	2.612218e-07
9.594726562500000e+00	4.051014e-01	1.795433e-07
9.604492187500000e+00	3.953809e-01	1.233252e-07
9.614257812500000e+00	3.856487e-01	8.467034e-08
9.624023437500000e+00	3.759077e-01	5.811173e-08
9.633789062500000e+00	3.661603e-01	3.987426e-08
9.643554687500000e+00	3.564082e-01	2.735599e-08
9.653320312500000e+00	3.466525e-01	1.876604e-08
9.672851562500000e+00	3.271340e-01	8.830815e-09
9.702148437500000e+00	2.978463e-01	2.853678e-09
9.731445312500000e+00	2.685530e-01	9.265415e-10
9.995117187500000e+00	4.883566e-03	1.017290e-11
1.000000000000000e+01	7.527955e-07	1.016964e-11
